map_id,legacy_xmid,legacy_xmmc,legacy_company_name,company,suggested_entity_type,rows_total,amount_total,proposal,target_business_entity_id,target_business_entity_name
6,af1d4b6f50504cfd9c6b0b13065fecff,四川世旺鑫润商贸有限公司,公司直属,四川保盛建设集团有限公司,trade,1595,305412446.55,confirm_existing_target,4,四川世旺鑫润商贸有限公司
7,547603a871bd42c5b19681683626a314,四川迈投建筑工程有限公司,公司直属,四川保盛建设集团有限公司,unknown,1548,214296736.75,confirm_existing_target,5,四川迈投建筑工程有限公司
5,95f1fe93331842488d5469ad771a1543,德阳泰诚硕商贸有限公司,公司直属,四川保盛建设集团有限公司,trade,1214,383103993.41999996,confirm_existing_target,3,德阳泰诚硕商贸有限公司
10,b8bc05aace5149f2af36878e9c030f4c,四川鑫垚建筑劳务有限公司,公司直属,四川保盛建设集团有限公司,labor,1124,159023433.13,confirm_existing_target,8,四川鑫垚建筑劳务有限公司
15,fb0c4133-f011-44a4-a285-59cfd30aec27,公司综合平台,四川保盛建设集团有限公司,四川保盛建设集团有限公司,platform,1048,13207512.15,confirm_existing_target,13,公司综合平台
8,306434aba43f4128b4ab6d8a6b289674,四川晟博通达商贸有限公司,公司直属,四川保盛建设集团有限公司,trade,870,212633363.35,confirm_existing_target,6,四川晟博通达商贸有限公司
12,ad4866a0a8a24b629a87165d98be5948,四川宏政嘉斯建筑工程有限公司,公司直属,四川保盛建设集团有限公司,unknown,735,73281963.05,confirm_existing_target,10,四川宏政嘉斯建筑工程有限公司
11,fa8bdd0d90aa4585bf8c27011d01b6d5,四川翔驰恒瑞商贸有限公司,公司直属,四川保盛建设集团有限公司,trade,668,124287841.42,confirm_existing_target,9,四川翔驰恒瑞商贸有限公司
9,88ca50467a784725aa4b42467b549e21,德阳市博众建材销售有限公司,公司直属,四川保盛建设集团有限公司,trade,598,212190437.11,confirm_existing_target,7,德阳市博众建材销售有限公司
13,8e63129abde54614ae66ef7df8f91046,四川宏川建筑劳务有限公司,公司直属,四川保盛建设集团有限公司,labor,536,51412278.55,confirm_existing_target,11,四川宏川建筑劳务有限公司
14,0d7cd766eb9f4d23b53761e593148e25,德阳森元路面工程有限公司,公司直属,四川保盛建设集团有限公司,unknown,479,34769657.22,confirm_existing_target,12,德阳森元路面工程有限公司
16,a5f4079846f345788536d81c916ef70f,四川嘉易欢悦建筑工程有限公司,公司直属,四川保盛建设集团有限公司,unknown,223,6446744.74,confirm_existing_target,14,四川嘉易欢悦建筑工程有限公司
23,9ba312b686204768a7d4a961b92970d4,四川世旺鑫润商贸有限公司,False,四川保盛建设集团有限公司,trade,38,1746517.29,create_business_entity,,
