legacy_xmid	legacy_xmmc
306434aba43f4128b4ab6d8a6b289674	四川晟博通达商贸有限公司
88ca50467a784725aa4b42467b549e21	德阳市博众建材销售有限公司
b8bc05aace5149f2af36878e9c030f4c	四川鑫垚建筑劳务有限公司
fa8bdd0d90aa4585bf8c27011d01b6d5	四川翔驰恒瑞商贸有限公司
ad4866a0a8a24b629a87165d98be5948	四川宏政嘉斯建筑工程有限公司
8e63129abde54614ae66ef7df8f91046	四川宏川建筑劳务有限公司
0d7cd766eb9f4d23b53761e593148e25	德阳森元路面工程有限公司
fb0c4133-f011-44a4-a285-59cfd30aec27	公司综合平台
a5f4079846f345788536d81c916ef70f	四川嘉易欢悦建筑工程有限公司
19d4645e51d94fdf967935666b96fba1	四川鑫垚建筑劳务有限公司
b641ea246c6942d2a4fac9014e827873	四川楷楠建设工程有限公司
26910d20f3864c7581fba068175a20f9	四川宏政嘉斯建筑工程有限公司
c264505c4bba4062be8330148257caf7	四川宏川建筑劳务有限公司
34b8e604a07c4ab58962c97fb38768f2	四川利龙建筑工程有限公司
58b0d30ab0af4b3eb9fc815d2335383b	四川世旺鑫润商贸有限公司
,,,,,,,,,	,,,,,,,,,
8f4479e608b845889bfd188dfb4b779e	旌阳区应木建材经营部
460522b05ba8415ba95d05f7efd850d0	四川翔驰恒瑞商贸有限公司
cade317968c943fb971eebe06d9407dd	四川晟博通达商贸有限公司
d00a9afe11eb4fbdae68af3300677669	陕西煤业化工建设(集团)有限公司洗选煤运营分公司
759d2f80befb4d468cd8eeef7fcc1ffa	旌阳区立扬伟建材经营部
fe64f2df81b04f6a8ffd510956a8a3f2	旌阳区宏裕辉建材经营部
9d7276ef170d4b6f88f33c04fad1c1ce	德阳经开区铭杨建材经营部
fcbdeaa1aade4da5a7adbab4e96d484c	德阳市福兴建筑劳务有限公司
d68125dac99640249bd4f0518269009a	四川迈投建筑工程有限公司
a87c81bedd2a48db9da8e260d2a9ecbd	商贸挂靠
ece713da76ed478e9db00944f170890a	旌阳区加卓建筑材料经营部
e8e79c74ad81420eaae69221141548b7	德阳市福兴建筑劳务有限公司
6a17ac64b1ac4b619e39abbff3effd4b	德阳市区永沁建材经营部
dc02610d76d441c1b74ad9e9b878d598	德阳经开区科纳机械租赁部
cc1e418e1efa4caeb4a374a05ec20f4a	德阳市海旺建材经营部
83c4733dfe1c413da1e5529fe8448ae2	德阳泰诚硕商贸有限公司
fa930650519f4145b0f2d12a42a62095	德阳市博众建材销售有限公司
cd149f81d6f741db8d102e9477a9bfcb	四川翔驰恒瑞商贸有限公司
8d5f91d0e24043d880a79f97be1e64af	德阳泰诚硕商贸有限公司
9ba312b686204768a7d4a961b92970d4	四川世旺鑫润商贸有限公司
95f1fe93331842488d5469ad771a1543	德阳泰诚硕商贸有限公司
af1d4b6f50504cfd9c6b0b13065fecff	四川世旺鑫润商贸有限公司
547603a871bd42c5b19681683626a314	四川迈投建筑工程有限公司
