model,id,legacy_key,name
sc.legacy.business.entity.map,17,8d5f91d0e24043d880a79f97be1e64af,德阳泰诚硕商贸有限公司
sc.legacy.business.entity.map,18,fa930650519f4145b0f2d12a42a62095,德阳市博众建材销售有限公司
sc.legacy.business.entity.map,19,43397eaacc004addb36fa18d2cf83e34,测试项目
sc.legacy.business.entity.map,20,cd149f81d6f741db8d102e9477a9bfcb,四川翔驰恒瑞商贸有限公司
sc.legacy.business.entity.map,21,83c4733dfe1c413da1e5529fe8448ae2,德阳泰诚硕商贸有限公司
sc.legacy.business.entity.map,22,a87c81bedd2a48db9da8e260d2a9ecbd,商贸挂靠
sc.legacy.business.entity.map,23,9ba312b686204768a7d4a961b92970d4,四川世旺鑫润商贸有限公司
sc.legacy.business.entity.map,24,cc1e418e1efa4caeb4a374a05ec20f4a,德阳市海旺建材经营部
sc.legacy.business.entity.map,25,dc02610d76d441c1b74ad9e9b878d598,德阳经开区科纳机械租赁部
sc.legacy.business.entity.map,26,e8e79c74ad81420eaae69221141548b7,德阳市福兴建筑劳务有限公司
sc.legacy.business.entity.map,27,6a17ac64b1ac4b619e39abbff3effd4b,德阳市区永沁建材经营部
sc.legacy.business.entity.map,28,ece713da76ed478e9db00944f170890a,旌阳区加卓建筑材料经营部
sc.legacy.business.entity.map,29,9d7276ef170d4b6f88f33c04fad1c1ce,德阳经开区铭杨建材经营部
sc.legacy.business.entity.map,30,759d2f80befb4d468cd8eeef7fcc1ffa,旌阳区立扬伟建材经营部
sc.legacy.business.entity.map,31,460522b05ba8415ba95d05f7efd850d0,四川翔驰恒瑞商贸有限公司
sc.legacy.business.entity.map,32,8f4479e608b845889bfd188dfb4b779e,旌阳区应木建材经营部
sc.legacy.business.entity.map,33,fe64f2df81b04f6a8ffd510956a8a3f2,旌阳区宏裕辉建材经营部
sc.legacy.business.entity.map,34,cade317968c943fb971eebe06d9407dd,四川晟博通达商贸有限公司
sc.legacy.business.entity.map,35,58b0d30ab0af4b3eb9fc815d2335383b,四川世旺鑫润商贸有限公司
sc.legacy.business.entity.map,36,d68125dac99640249bd4f0518269009a,四川迈投建筑工程有限公司
sc.legacy.business.entity.map,37,26910d20f3864c7581fba068175a20f9,四川宏政嘉斯建筑工程有限公司
sc.legacy.business.entity.map,38,fcbdeaa1aade4da5a7adbab4e96d484c,德阳市福兴建筑劳务有限公司
sc.legacy.business.entity.map,39,b641ea246c6942d2a4fac9014e827873,四川楷楠建设工程有限公司
sc.legacy.business.entity.map,40,c264505c4bba4062be8330148257caf7,四川宏川建筑劳务有限公司
sc.legacy.business.entity.map,41,19d4645e51d94fdf967935666b96fba1,四川鑫垚建筑劳务有限公司
sc.legacy.business.entity.map,42,",,,,,,,,,",",,,,,,,,,"
sc.legacy.business.entity.map,43,d00a9afe11eb4fbdae68af3300677669,陕西煤业化工建设(集团)有限公司洗选煤运营分公司
sc.legacy.business.entity.map,44,0f88b91125f44373afbc75ee7b00b85a,测试01
sc.legacy.business.entity.map,45,34b8e604a07c4ab58962c97fb38768f2,四川利龙建筑工程有限公司
sc.legacy.project.map,46,测试项目,测试项目
